electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour
1.138,0.0,,-1.0,1.0,11,1,0
1.055,0.0,,-1.0,1.0,11,1,1
0.22299999999999998,0.0,,-1.0,1.0,11,1,2
0.265,0.0,,-1.0,1.0,11,1,3
0.24,0.0,,-1.0,1.0,11,1,4
0.23399999999999999,0.0,,-1.0,1.0,11,1,5
0.31400000000000006,0.008,,-1.0,1.0,11,1,6
0.6970000000000001,0.21700000000000003,,-1.0,1.0,11,1,7
1.6920000000000002,0.442,,-1.0,1.0,11,1,8
0.246,0.573,,-1.0,1.0,11,1,9
2.1199999999999997,0.984,,-1.0,1.0,11,1,10
0.27,1.336,,-1.0,1.0,11,1,11
0.255,1.562,,-1.0,1.0,11,1,12
0.246,1.087,,-1.0,1.0,11,1,13
0.26,0.415,,-1.0,1.0,11,1,14
0.293,0.018000000000000002,,-1.0,1.0,11,1,15
1.236,0.0,,-1.0,1.0,11,1,16
0.44,0.0,,-1.0,1.0,11,1,17
1.001,0.0,,-1.0,1.0,11,1,18
1.312,0.0,,-1.0,1.0,11,1,19
0.387,0.0,,-1.0,1.0,11,1,20
0.466,0.0,,-1.0,1.0,11,1,21
0.291,0.0,,-1.0,1.0,11,1,22
0.21799999999999997,0.0,,-1.0,1.0,11,1,23
0.239,0.0,,-1.0,1.0,11,2,0
0.214,0.0,,-1.0,1.0,11,2,1
0.217,0.0,,-1.0,1.0,11,2,2
0.22599999999999998,0.0,,-1.0,1.0,11,2,3
0.382,0.0,,-1.0,1.0,11,2,4
0.363,0.0,,-1.0,1.0,11,2,5
0.42700000000000005,0.003,,-1.0,1.0,11,2,6
0.355,0.16799999999999998,,-1.0,1.0,11,2,7
0.268,0.493,,-1.0,1.0,11,2,8
0.189,1.1179999999999999,,-1.0,1.0,11,2,9
0.25199999999999995,3.5169999999999995,,-1.0,1.0,11,2,10
0.189,2.412,,-1.0,1.0,11,2,11
0.20199999999999999,1.855,,-1.0,1.0,11,2,12
0.935,2.726,,-1.0,1.0,11,2,13
0.293,0.887,,-1.0,1.0,11,2,14
0.46799999999999997,0.067,,-1.0,1.0,11,2,15
0.509,0.0,,-1.0,1.0,11,2,16
0.43499999999999994,0.0,,-1.0,1.0,11,2,17
0.444,0.0,,-1.0,1.0,11,2,18
0.365,0.0,,-1.0,1.0,11,2,19
0.327,0.0,,-1.0,1.0,11,2,20
0.35800000000000004,0.0,,-1.0,1.0,11,2,21
0.248,0.0,,-1.0,1.0,11,2,22
0.22699999999999998,0.0,,-1.0,1.0,11,2,23
0.262,0.0,,-1.0,1.0,11,3,0
0.28600000000000003,0.0,,-1.0,1.0,11,3,1
0.23099999999999998,0.0,,-1.0,1.0,11,3,2
0.23399999999999999,0.0,,-1.0,1.0,11,3,3
1.017,0.0,,-1.0,1.0,11,3,4
2.123,0.0,,-1.0,1.0,11,3,5
0.345,0.264,,-1.0,1.0,11,3,6
0.379,2.0500000000000003,,-1.0,1.0,11,3,7
0.379,2.5569999999999995,,-1.0,1.0,11,3,8
0.422,2.964,,-1.0,1.0,11,3,9
0.395,5.05,,-1.0,1.0,11,3,10
0.44999999999999996,5.590999999999999,,-1.0,1.0,11,3,11
0.311,4.904999999999999,,-1.0,1.0,11,3,12
0.214,2.596,,-1.0,1.0,11,3,13
1.8889999999999998,0.355,,-1.0,1.0,11,3,14
0.32999999999999996,0.01,,-1.0,1.0,11,3,15
0.40900000000000003,0.0,,-1.0,1.0,11,3,16
0.385,0.0,,-1.0,1.0,11,3,17
0.42,0.0,,-1.0,1.0,11,3,18
0.415,0.0,,-1.0,1.0,11,3,19
0.405,0.0,,-1.0,1.0,11,3,20
0.831,0.0,,-1.0,1.0,11,3,21
1.327,0.0,,-1.0,1.0,11,3,22
0.21100000000000002,0.0,,-1.0,1.0,11,3,23
0.21100000000000002,0.0,,-1.0,1.0,11,4,0
0.255,0.0,,-1.0,1.0,11,4,1
0.221,0.0,,-1.0,1.0,11,4,2
0.586,0.0,,-1.0,1.0,11,4,3
2.3289999999999997,0.0,0.0,1.0,0.8262731040253231,11,4,4
0.8404577777777775,0.0,2.0745422222222225,1.0,0.8262731040253231,11,4,5
0.6885025641025649,0.035,5.8694974358974354,0.0,0.8716409264866201,11,4,6
1.6039999999999999,0.8330000000000001,,-1.0,1.0,11,4,7
0.39399999999999996,2.785,,-1.0,1.0,11,4,8
0.233,3.957,,-1.0,1.0,11,4,9
0.29400000000000004,6.138,,-1.0,1.0,11,4,10
0.27699999999999997,5.489,,-1.0,1.0,11,4,11
0.238,3.614,,-1.0,1.0,11,4,12
0.22599999999999998,3.436,,-1.0,1.0,11,4,13
0.183,1.409,,-1.0,1.0,11,4,14
0.25,0.031,,-1.0,1.0,11,4,15
1.58,0.0,,-1.0,1.0,11,4,16
0.8689999999999999,0.0,,-1.0,1.0,11,4,17
0.5160984126984126,0.0,1.3009015873015874,11.0,0.48152402750432155,11,4,18
0.27099999999999996,0.0,0.0,10.0,0.5099732302345015,11,4,19
2.064447397047398,0.0,3.988552602952602,9.0,0.5099732302345015,11,4,20
0.9486153846153843,0.0,3.1993846153846155,8.0,0.5971982307333896,11,4,21
0.197,0.0,0.0,7.0,0.6671650463813703,11,4,22
0.6018107847707856,0.0,4.608189215229214,6.0,0.6671650463813703,11,4,23
2.0146153846153845,0.0,2.4513846153846157,5.0,0.7679407779838039,11,5,0
0.8437811965811961,0.0,6.988218803418803,4.0,0.8215497047262026,11,5,1
0.5141914529914532,0.0,1.1718085470085469,3.0,0.9743739117238276,11,5,2
0.625,0.0,0.0,2.0,1.0000000000000002,11,5,3
2.2910000000000004,0.0,0.0,1.0,1.0000000000000002,11,5,4
0.851,0.0,0.0,0.0,1.0,11,5,5
0.493,0.23199999999999998,,-1.0,1.0,11,5,6
0.46199999999999997,2.2649999999999997,,-1.0,1.0,11,5,7
0.519,2.69,,-1.0,1.0,11,5,8
0.23199999999999998,4.577,,-1.0,1.0,11,5,9
0.22700000000000004,5.516,,-1.0,1.0,11,5,10
0.53,4.771,,-1.0,1.0,11,5,11
0.39899999999999997,3.4819999999999998,,-1.0,1.0,11,5,12
0.302,3.015,,-1.0,1.0,11,5,13
0.22799999999999998,0.9620000000000001,,-1.0,1.0,11,5,14
0.376,0.043,,-1.0,1.0,11,5,15
0.38799999999999996,0.0,,-1.0,1.0,11,5,16
1.204,0.0,,-1.0,1.0,11,5,17
1.4260000000000002,0.0,,-1.0,1.0,11,5,18
1.3410000000000002,0.0,,-1.0,1.0,11,5,19
0.365,0.0,,-1.0,1.0,11,5,20
0.299,0.0,,-1.0,1.0,11,5,21
0.23099999999999998,0.0,,-1.0,1.0,11,5,22
0.236,0.0,,-1.0,1.0,11,5,23
0.196,0.0,,-1.0,1.0,11,6,0
0.22399999999999998,0.0,,-1.0,1.0,11,6,1
0.23299999999999998,0.0,,-1.0,1.0,11,6,2
0.215,0.0,,-1.0,1.0,11,6,3
0.482,0.0,,-1.0,1.0,11,6,4
1.8800000000000001,0.0,,-1.0,1.0,11,6,5
0.42500000000000004,0.001,,-1.0,1.0,11,6,6
0.36400000000000005,0.15,,-1.0,1.0,11,6,7
0.249,0.28700000000000003,,-1.0,1.0,11,6,8
0.353,0.557,,-1.0,1.0,11,6,9
0.211,0.514,,-1.0,1.0,11,6,10
0.368,0.44899999999999995,,-1.0,1.0,11,6,11
1.4729999999999999,0.271,,-1.0,1.0,11,6,12
1.309,0.14100000000000001,,-1.0,1.0,11,6,13
0.355,0.032,,-1.0,1.0,11,6,14
0.671,0.0,,-1.0,1.0,11,6,15
0.708,0.0,,-1.0,1.0,11,6,16
0.45999999999999996,0.0,,-1.0,1.0,11,6,17
0.382,0.0,,-1.0,1.0,11,6,18
0.341,0.0,,-1.0,1.0,11,6,19
1.741,0.0,,-1.0,1.0,11,6,20
0.613,0.0,,-1.0,1.0,11,6,21
0.196,0.0,,-1.0,1.0,11,6,22
0.21799999999999997,0.0,,-1.0,1.0,11,6,23
0.23199999999999998,0.0,,-1.0,1.0,11,7,0
0.22199999999999998,0.0,,-1.0,1.0,11,7,1
0.917,0.0,,-1.0,1.0,11,7,2
1.8259999999999998,0.0,,-1.0,1.0,11,7,3
0.222,0.0,,-1.0,1.0,11,7,4
0.254,0.0,,-1.0,1.0,11,7,5
0.34700000000000003,0.017,,-1.0,1.0,11,7,6
0.257,0.24900000000000003,,-1.0,1.0,11,7,7
1.301,0.677,,-1.0,1.0,11,7,8
1.907,3.5540000000000003,,-1.0,1.0,11,7,9
1.4170000000000003,5.7540000000000004,,-1.0,1.0,11,7,10
0.4099999999999999,5.593999999999999,,-1.0,1.0,11,7,11
0.635,4.6209999999999996,,-1.0,1.0,11,7,12
0.503,3.1639999999999997,,-1.0,1.0,11,7,13
1.556,1.04,,-1.0,1.0,11,7,14
1.8910000000000002,0.018,,-1.0,1.0,11,7,15
0.229,0.0,,-1.0,1.0,11,7,16
0.22999999999999998,0.0,,-1.0,1.0,11,7,17
1.854,0.0,,-1.0,1.0,11,7,18
0.589,0.0,,-1.0,1.0,11,7,19
0.228,0.0,,-1.0,1.0,11,7,20
0.76,0.0,,-1.0,1.0,11,7,21
1.594,0.0,,-1.0,1.0,11,7,22
0.375,0.0,,-1.0,1.0,11,7,23
0.246,0.0,,-1.0,1.0,11,8,0
1.268,0.0,,-1.0,1.0,11,8,1
1.1360000000000001,0.0,,-1.0,1.0,11,8,2
0.21799999999999997,0.0,,-1.0,1.0,11,8,3
0.217,0.0,,-1.0,1.0,11,8,4
1.343,0.0,,-1.0,1.0,11,8,5
1.12,0.08299999999999999,,-1.0,1.0,11,8,6
0.222,1.468,,-1.0,1.0,11,8,7
0.45899999999999996,2.117,,-1.0,1.0,11,8,8
2.514,3.717,,-1.0,1.0,11,8,9
0.22099999999999997,5.029,,-1.0,1.0,11,8,10
0.258,4.751,,-1.0,1.0,11,8,11
0.29,3.839,,-1.0,1.0,11,8,12
0.218,2.4050000000000002,,-1.0,1.0,11,8,13
0.29,0.7180000000000001,,-1.0,1.0,11,8,14
0.9779555555555555,0.015,6.414044444444444,1.0,0.8196578448566157,11,8,15
1.523507692307692,0.0,1.8324923076923079,0.0,0.9599255272866788,11,8,16
1.7000000000000002,0.0,,-1.0,1.0,11,8,17
0.558,0.0,,-1.0,1.0,11,8,18
0.368,0.0,,-1.0,1.0,11,8,19
0.356,0.0,,-1.0,1.0,11,8,20
1.504,0.0,,-1.0,1.0,11,8,21
0.794,0.0,,-1.0,1.0,11,8,22
0.23,0.0,,-1.0,1.0,11,8,23
0.208,0.0,,-1.0,1.0,11,9,0
0.20800000000000002,0.0,,-1.0,1.0,11,9,1
0.239,0.0,,-1.0,1.0,11,9,2
1.847,0.0,,-1.0,1.0,11,9,3
1.6420000000000001,0.0,,-1.0,1.0,11,9,4
0.321,0.0,,-1.0,1.0,11,9,5
0.406,0.001,,-1.0,1.0,11,9,6
0.34,0.064,,-1.0,1.0,11,9,7
0.271,0.139,,-1.0,1.0,11,9,8
1.7759999999999998,0.193,,-1.0,1.0,11,9,9
1.553,0.259,,-1.0,1.0,11,9,10
0.484,0.33999999999999997,,-1.0,1.0,11,9,11
0.331,0.15400000000000003,,-1.0,1.0,11,9,12
0.538,0.217,,-1.0,1.0,11,9,13
2.035,0.064,,-1.0,1.0,11,9,14
0.43399999999999994,0.0,,-1.0,1.0,11,9,15
0.494,0.0,,-1.0,1.0,11,9,16
0.528,0.0,,-1.0,1.0,11,9,17
0.53,0.0,,-1.0,1.0,11,9,18
1.205,0.0,,-1.0,1.0,11,9,19
1.165,0.0,,-1.0,1.0,11,9,20
0.266,0.0,,-1.0,1.0,11,9,21
0.226,0.0,,-1.0,1.0,11,9,22
0.21200000000000002,0.0,,-1.0,1.0,11,9,23
0.909,0.0,,-1.0,1.0,11,10,0
1.366,0.0,,-1.0,1.0,11,10,1
0.237,0.0,,-1.0,1.0,11,10,2
0.22599999999999998,0.0,,-1.0,1.0,11,10,3
1.694,0.0,,-1.0,1.0,11,10,4
1.217,0.0,,-1.0,1.0,11,10,5
0.511,0.0,,-1.0,1.0,11,10,6
0.46199999999999997,0.021,,-1.0,1.0,11,10,7
0.37899999999999995,0.091,,-1.0,1.0,11,10,8
0.705,0.153,,-1.0,1.0,11,10,9
1.4909999999999999,0.209,,-1.0,1.0,11,10,10
0.252,0.21599999999999997,,-1.0,1.0,11,10,11
0.269,0.155,,-1.0,1.0,11,10,12
0.369,0.075,,-1.0,1.0,11,10,13
0.309,0.018000000000000002,,-1.0,1.0,11,10,14
2.047,0.0,,-1.0,1.0,11,10,15
0.44399999999999995,0.0,,-1.0,1.0,11,10,16
0.748,0.0,,-1.0,1.0,11,10,17
0.39399999999999996,0.0,,-1.0,1.0,11,10,18
0.412,0.0,,-1.0,1.0,11,10,19
0.63,0.0,,-1.0,1.0,11,10,20
1.691,0.0,,-1.0,1.0,11,10,21
0.267,0.0,,-1.0,1.0,11,10,22
0.22399999999999998,0.0,,-1.0,1.0,11,10,23
1.831,0.0,,-1.0,1.0,11,11,0
0.38,0.0,,-1.0,1.0,11,11,1
0.239,0.0,,-1.0,1.0,11,11,2
