electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour,nday,d_res,hour_cos,hour_sin,month_cos,month_sin,spring,summer,autumn,winter,season,p_buy,p_sell
0.219,0,,-1,1,11,16,0,361,0.219,1,0,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.225,0,,-1,1,11,16,1,362,0.225,0.962917287,0.269796771,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.222,0,,-1,1,11,16,2,363,0.222,0.854419405,0.51958395,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.24,0,,-1,1,11,16,3,364,0.24,0.682553143,0.730835964,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.271,0,,-1,1,11,16,4,365,0.271,0.460065038,0.887885218,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.237,0,,-1,1,11,16,5,366,0.237,0.203456013,0.979084088,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.24,0.002,,-1,1,11,16,6,367,0.238,-0.068242413,0.997668769,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.283,0.158,,-1,1,11,16,7,368,0.125,-0.334879612,0.942260922,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.298,0.447,,-1,1,11,16,8,369,-0.149,-0.576680322,0.816969893,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.209,0.567,,-1,1,11,16,9,370,-0.358,-0.775711291,0.631087944,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.231,1.312,,-1,1,11,16,10,371,-1.081,-0.917211302,0.39840109,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.229,1.383,,-1,1,11,16,11,372,-1.154,-0.990685946,0.136166649,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.221,1.091,,-1,1,11,16,12,373,-0.87,-0.990685946,-0.136166649,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.235,1.097,,-1,1,11,16,13,374,-0.862,-0.917211302,-0.39840109,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.201,0.238,,-1,1,11,16,14,375,-0.037,-0.775711291,-0.631087944,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.208,0.027,,-1,1,11,16,15,376,0.181,-0.576680322,-0.816969893,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.353,0,,-1,1,11,16,16,377,0.353,-0.334879612,-0.942260922,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.464,0,,-1,1,11,16,17,378,0.464,-0.068242413,-0.997668769,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.504,0,,-1,1,11,16,18,379,0.504,0.203456013,-0.979084088,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.514,0,,-1,1,11,16,19,380,0.514,0.460065038,-0.887885218,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.501,0,,-1,1,11,16,20,381,0.501,0.682553143,-0.730835964,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.417,0,,-1,1,11,16,21,382,0.417,0.854419405,-0.51958395,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.289,0,,-1,1,11,16,22,383,0.289,0.962917287,-0.269796771,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.231,0,,-1,1,11,16,23,384,0.231,1,-2.45E-16,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.218,0,,-1,1,11,17,0,385,0.218,1,0,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.218,0,,-1,1,11,17,1,386,0.218,0.962917287,0.269796771,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.216,0,,-1,1,11,17,2,387,0.216,0.854419405,0.51958395,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
0.242,0,,-1,1,11,17,3,388,0.242,0.682553143,0.730835964,0.866025404,-0.5,false,false,true,false,3,0.4,0.08
