electkwh;PV_generation;chargekwh;;h_countdown;soc_ev;month;day;hour;nday;d_res;hour_cos;hour_sin;month_cos;month_sin;spring;summer;autumn;winter;season;p_buy;p_sell
0.602;0;;;-1;1;11;16;0;361;0.602;1;0;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.424;0;;;-1;1;11;16;1;362;0.424;0.962917287;0.269796771;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.376;0;;;-1;1;11;16;2;363;0.376;0.854419405;0.51958395;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.3;0;;;-1;1;11;16;3;364;0.3;0.682553143;0.730835964;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.363;0;;;-1;1;11;16;4;365;0.363;0.460065038;0.887885218;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.658;0;;;-1;1;11;16;5;366;0.658;0.203456013;0.979084088;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
1.185;0;;;-1;1;11;16;6;367;1.185;-0.068242413;0.997668769;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
1.167;0.09;;;-1;1;11;16;7;368;1.077;-0.334879612;0.942260922;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.933;2.337;;;-1;1;11;16;8;369;-1.404;-0.576680322;0.816969893;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.609;3.031;;;-1;1;11;16;9;370;-2.422;-0.775711291;0.631087944;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.637;2.469;;;-1;1;11;16;10;371;-1.832;-0.917211302;0.39840109;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.512;1.512;;;-1;1;11;16;11;372;-1;-0.990685946;0.136166649;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.387;2.999;;;-1;1;11;16;12;373;-2.612;-0.990685946;-0.136166649;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
0.403;1.365;;;-1;1;11;16;13;374;-0.962;-0.917211302;-0.39840109;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
1.11;0.6;;;-1;1;11;16;14;375;0.51;-0.775711291;-0.631087944;0.866025404;-0.5;false;false;true;false;3;0.4;0.08
