Soc_B,Soc_Ev,C_EV,profits,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_EV,GR_EV,B_EV,EXT_EV,month,day,hour,horizon
3.375,48.25,-1.0,201.7009458245258,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,4319
3.2085829605259004,48.25,-1.0,201.7009458245258,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,1.0,4319
3.0758551240893848,48.25,-1.0,201.7009458245258,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,2.0,4319
2.9104996905405125,48.25,-1.0,201.7009458245258,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,3.0,4319
2.745149217654646,48.25,-1.0,201.7009458245258,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,4319
2.5955931789672166,48.25,-1.0,201.7009458245258,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,4319
2.3165679427500976,48.25,-1.0,201.7009458245258,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,6.0,4319
2.071235287816465,48.25,-1.0,201.7009458245258,0.094,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,7.0,4319
1.9648573612838807,48.25,-1.0,201.7009458245258,0.166,0.0,0.0,0.0,0.484,0.0,0.0,0.0,0.0,11.0,16.0,8.0,4319
1.9647984155630422,48.25,-1.0,201.7009458245258,0.154,0.0,0.0,0.0,1.441,0.0,0.0,0.0,0.0,11.0,16.0,9.0,4319
1.9647394716105755,48.25,-1.0,201.7009458245258,0.172,0.0,0.0,0.0,2.4059999999999997,0.0,0.0,0.0,0.0,11.0,16.0,10.0,4319
1.9646805294264271,48.25,-1.0,201.7009458245258,0.286,0.0,0.0,0.0,1.544,0.0,0.0,0.0,0.0,11.0,16.0,11.0,4319
1.9646215890105443,48.25,-1.0,201.7009458245258,0.135,0.0,0.0,0.0,1.509,0.0,0.0,0.0,0.0,11.0,16.0,12.0,4319
1.964562650362874,48.25,-1.0,201.7009458245258,0.273,0.0,0.0,0.9339842770188334,1.4980157229811666,0.0,0.0,0.0,0.0,11.0,16.0,13.0,4319
2.8517887766512553,48.25,-1.0,201.7009458245258,0.218,0.0,0.0,1.182,0.0,0.0,0.0,0.0,0.0,11.0,16.0,14.0,4319
3.9746032229879558,48.25,-1.0,201.7009458245258,0.143,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,15.0,4319
3.8018524059434666,48.25,-1.0,201.7009458245258,0.0,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,4319
3.574369929318088,48.25,-1.0,201.7009458245258,0.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,17.0,4319
2.960578487692359,48.25,-1.0,201.7009458245258,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,18.0,4319
2.4973317755997284,48.25,-1.0,201.7009458245258,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,19.0,4319
2.2519936977511104,48.25,-1.0,201.7009458245258,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,20.0,4319
2.030873506360678,48.25,-1.0,201.7009458245258,0.0,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,21.0,4319
1.8234441591023376,48.25,-1.0,201.7009458245258,0.0,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,22.0,4319
1.6118105084086147,48.25,-1.0,201.7009458245258,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,23.0,4319
1.4222884698823623,48.25,-1.0,201.7009458245258,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,4319
1.235930011754116,48.25,-1.0,201.7009458245258,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,4319
1.0685245128007135,48.25,-1.0,201.7009458245258,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,2.0,4319
0.8927029833806795,48.25,-1.0,201.7009458245258,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,3.0,4319
